Date,commodity,price_brl,unit
2026-05-15,Soybean (ESALQ/B3 Paranaguá),2152.33,BRL/MT
2026-05-18,Soybean (CEPEA),2058.5,BRL/MT
2026-05-18,Soybean (ESALQ/B3 Paranaguá),2161.83,BRL/MT
2026-05-19,Soybean (CEPEA),2061.17,BRL/MT
2026-05-19,Soybean (ESALQ/B3 Paranaguá),2176.17,BRL/MT
2026-05-20,Soybean (CEPEA),2053.0,BRL/MT
2026-05-20,Soybean (ESALQ/B3 Paranaguá),2154.17,BRL/MT
2026-05-21,Soybean (CEPEA),2055.33,BRL/MT
2026-05-21,Soybean (ESALQ/B3 Paranaguá),2160.67,BRL/MT
2026-05-22,Soybean (CEPEA),2058.0,BRL/MT
2026-05-22,Soybean (CONAB PR farmgate),1880.0,BRL/MT
2026-05-22,Soybean (ESALQ/B3 Paranaguá),2160.33,BRL/MT
2026-05-25,Soybean (CEPEA),2058.5,BRL/MT
2026-05-25,Soybean (ESALQ/B3 Paranaguá),2165.17,BRL/MT
2026-05-26,Soybean (CEPEA),2058.0,BRL/MT
2026-05-26,Soybean (ESALQ/B3 Paranaguá),2157.83,BRL/MT
2026-05-27,Soybean (CEPEA),2071.17,BRL/MT
2026-05-27,Soybean (ESALQ/B3 Paranaguá),2164.83,BRL/MT
2026-05-28,Soybean (CEPEA),2076.5,BRL/MT
2026-05-28,Soybean (ESALQ/B3 Paranaguá),2181.67,BRL/MT
2026-05-29,Soybean (CEPEA),2070.5,BRL/MT
2026-05-29,Soybean (CONAB PR farmgate),1880.0,BRL/MT
2026-05-29,Soybean (ESALQ/B3 Paranaguá),2168.67,BRL/MT
2026-06-01,Soybean (CEPEA),2075.5,BRL/MT
2026-06-01,Soybean (ESALQ/B3 Paranaguá),2170.83,BRL/MT
2026-06-02,Soybean (CEPEA),2065.67,BRL/MT
2026-06-02,Soybean (ESALQ/B3 Paranaguá),2145.67,BRL/MT
2026-06-03,Soybean (CEPEA),2066.17,BRL/MT
2026-06-03,Soybean (ESALQ/B3 Paranaguá),2167.0,BRL/MT
2026-06-05,Soybean (CEPEA),2072.67,BRL/MT
2026-06-05,Soybean (CONAB PR farmgate),1890.0,BRL/MT
2026-06-05,Soybean (ESALQ/B3 Paranaguá),2152.67,BRL/MT
2026-06-08,Soybean (CEPEA),2068.67,BRL/MT
2026-06-08,Soybean (ESALQ/B3 Paranaguá),2168.0,BRL/MT
2026-06-09,Soybean (CEPEA),2078.17,BRL/MT
2026-06-09,Soybean (ESALQ/B3 Paranaguá),2180.83,BRL/MT
2026-06-10,Soybean (CEPEA),2091.83,BRL/MT
2026-06-10,Soybean (ESALQ/B3 Paranaguá),2203.83,BRL/MT
2026-06-11,Soybean (CEPEA),2095.5,BRL/MT
2026-06-11,Soybean (ESALQ/B3 Paranaguá),2196.33,BRL/MT
2026-06-12,Soybean (CEPEA),2078.17,BRL/MT
2026-06-12,Soybean (CONAB PR farmgate),1880.0,BRL/MT
2026-06-12,Soybean (ESALQ/B3 Paranaguá),2164.17,BRL/MT
2026-06-15,Soybean (CEPEA),2044.67,BRL/MT
2026-06-15,Soybean (ESALQ/B3 Paranaguá),2154.0,BRL/MT
2026-06-16,Soybean (CEPEA),2065.0,BRL/MT
2026-06-16,Soybean (ESALQ/B3 Paranaguá),2204.33,BRL/MT
2026-06-17,Soybean (CEPEA),2065.17,BRL/MT
2026-06-17,Soybean (ESALQ/B3 Paranaguá),2184.5,BRL/MT
2026-06-18,Soybean (CEPEA),2078.0,BRL/MT
