week_ending,region,port_area,commodity,inspections_mt
2026-08-06,PACIFIC,COLUMBIA R.,Sorghum,0.0
2026-08-06,PACIFIC,COLUMBIA R.,Soybeans,0.0
2026-08-06,PACIFIC,COLUMBIA R.,Wheat,266273.0
2026-08-06,PACIFIC,PUGET SOUND,Canola,0.0
2026-08-06,PACIFIC,PUGET SOUND,Corn White,0.0
2026-08-06,PACIFIC,PUGET SOUND,Corn Yellow,69169.0
2026-08-06,PACIFIC,PUGET SOUND,Sorghum,0.0
2026-08-06,PACIFIC,PUGET SOUND,Soybeans,0.0
2026-08-06,PACIFIC,PUGET SOUND,Wheat,661.0
2026-08-06,PACIFIC,SUBTOTAL,Canola,0.0
2026-08-06,PACIFIC,SUBTOTAL,Corn White,0.0
2026-08-06,PACIFIC,SUBTOTAL,Corn Yellow,389583.0
2026-08-06,PACIFIC,SUBTOTAL,Sorghum,0.0
2026-08-06,PACIFIC,SUBTOTAL,Soybeans,0.0
2026-08-06,PACIFIC,SUBTOTAL,Wheat,266934.0
2026-08-13,ATLANTIC,S. ATLANTIC,Corn White,0.0
2026-08-13,ATLANTIC,S. ATLANTIC,Corn Yellow,65146.0
2026-08-13,ATLANTIC,S. ATLANTIC,Rye,0.0
2026-08-13,ATLANTIC,S. ATLANTIC,Sorghum,0.0
2026-08-13,ATLANTIC,S. ATLANTIC,Soybeans,1908.0
2026-08-13,ATLANTIC,S. ATLANTIC,Wheat,1640.0
2026-08-13,ATLANTIC,SUBTOTAL,Corn White,0.0
2026-08-13,ATLANTIC,SUBTOTAL,Corn Yellow,65146.0
2026-08-13,ATLANTIC,SUBTOTAL,Rye,0.0
2026-08-13,ATLANTIC,SUBTOTAL,Sorghum,0.0
2026-08-13,ATLANTIC,SUBTOTAL,Soybeans,1908.0
2026-08-13,ATLANTIC,SUBTOTAL,Wheat,1640.0
2026-08-13,GULF,MISSISSIPPI R.,Corn White,39718.0
2026-08-13,GULF,MISSISSIPPI R.,Corn Yellow,1018286.0
2026-08-13,GULF,MISSISSIPPI R.,Rye,0.0
2026-08-13,GULF,MISSISSIPPI R.,Sorghum,0.0
2026-08-13,GULF,MISSISSIPPI R.,Soybeans,140073.0
2026-08-13,GULF,MISSISSIPPI R.,Wheat,113958.0
2026-08-13,GULF,N. TEXAS,Corn White,0.0
2026-08-13,GULF,N. TEXAS,Corn Yellow,7200.0
2026-08-13,GULF,N. TEXAS,Rye,0.0
2026-08-13,GULF,N. TEXAS,Sorghum,0.0
2026-08-13,GULF,N. TEXAS,Soybeans,0.0
2026-08-13,GULF,N. TEXAS,Wheat,19980.0
2026-08-13,GULF,SUBTOTAL,Corn White,39718.0
2026-08-13,GULF,SUBTOTAL,Corn Yellow,1025486.0
2026-08-13,GULF,SUBTOTAL,Rye,0.0
2026-08-13,GULF,SUBTOTAL,Sorghum,0.0
2026-08-13,GULF,SUBTOTAL,Soybeans,140073.0
2026-08-13,GULF,SUBTOTAL,Wheat,133938.0
2026-08-13,INTERIOR,INTERIOR,Corn White,269.0
2026-08-13,INTERIOR,INTERIOR,Corn Yellow,338380.0
2026-08-13,INTERIOR,INTERIOR,Rye,0.0
2026-08-13,INTERIOR,INTERIOR,Sorghum,880.0
2026-08-13,INTERIOR,INTERIOR,Soybeans,109320.0
2026-08-13,INTERIOR,INTERIOR,Wheat,41031.0
2026-08-13,INTERIOR,SUBTOTAL,Corn White,269.0
2026-08-13,INTERIOR,SUBTOTAL,Corn Yellow,338380.0
2026-08-13,INTERIOR,SUBTOTAL,Rye,0.0
2026-08-13,INTERIOR,SUBTOTAL,Sorghum,880.0
2026-08-13,INTERIOR,SUBTOTAL,Soybeans,109320.0
2026-08-13,INTERIOR,SUBTOTAL,Wheat,41031.0
2026-08-13,LAKES,DULUTH-SUP,Corn White,0.0
2026-08-13,LAKES,DULUTH-SUP,Corn Yellow,0.0
2026-08-13,LAKES,DULUTH-SUP,Rye,0.0
2026-08-13,LAKES,DULUTH-SUP,Sorghum,0.0
2026-08-13,LAKES,DULUTH-SUP,Soybeans,0.0
2026-08-13,LAKES,DULUTH-SUP,Wheat,15459.0
2026-08-13,LAKES,SUBTOTAL,Corn White,0.0
2026-08-13,LAKES,SUBTOTAL,Corn Yellow,21259.0
2026-08-13,LAKES,SUBTOTAL,Rye,0.0
2026-08-13,LAKES,SUBTOTAL,Sorghum,0.0
2026-08-13,LAKES,SUBTOTAL,Soybeans,0.0
2026-08-13,LAKES,SUBTOTAL,Wheat,15459.0
2026-08-13,LAKES,TOLEDO,Corn White,0.0
2026-08-13,LAKES,TOLEDO,Corn Yellow,21259.0
2026-08-13,LAKES,TOLEDO,Rye,0.0
2026-08-13,LAKES,TOLEDO,Sorghum,0.0
2026-08-13,LAKES,TOLEDO,Soybeans,0.0
2026-08-13,LAKES,TOLEDO,Wheat,0.0
2026-08-13,PACIFIC,COLUMBIA R.,Corn White,0.0
2026-08-13,PACIFIC,COLUMBIA R.,Corn Yellow,294243.0
2026-08-13,PACIFIC,COLUMBIA R.,Rye,0.0
2026-08-13,PACIFIC,COLUMBIA R.,Sorghum,0.0
2026-08-13,PACIFIC,COLUMBIA R.,Soybeans,18900.0
2026-08-13,PACIFIC,COLUMBIA R.,Wheat,301333.0
2026-08-13,PACIFIC,PUGET SOUND,Corn White,0.0
2026-08-13,PACIFIC,PUGET SOUND,Corn Yellow,126499.0
2026-08-13,PACIFIC,PUGET SOUND,Rye,0.0
2026-08-13,PACIFIC,PUGET SOUND,Sorghum,0.0
2026-08-13,PACIFIC,PUGET SOUND,Soybeans,0.0
2026-08-13,PACIFIC,PUGET SOUND,Wheat,0.0
2026-08-13,PACIFIC,SUBTOTAL,Corn White,0.0
2026-08-13,PACIFIC,SUBTOTAL,Corn Yellow,420742.0
2026-08-13,PACIFIC,SUBTOTAL,Rye,0.0
2026-08-13,PACIFIC,SUBTOTAL,Sorghum,0.0
2026-08-13,PACIFIC,SUBTOTAL,Soybeans,18900.0
2026-08-13,PACIFIC,SUBTOTAL,Wheat,301333.0
2026-08-20,ATLANTIC,S. ATLANTIC,Corn White,0.0
2026-08-20,ATLANTIC,S. ATLANTIC,Corn Yellow,35639.0
2026-08-20,ATLANTIC,S. ATLANTIC,Rye,0.0
2026-08-20,ATLANTIC,S. ATLANTIC,Sorghum,0.0
2026-08-20,ATLANTIC,S. ATLANTIC,Soybeans,490.0
2026-08-20,ATLANTIC,S. ATLANTIC,Wheat,1372.0
2026-08-20,ATLANTIC,SUBTOTAL,Corn White,0.0
2026-08-20,ATLANTIC,SUBTOTAL,Corn Yellow,35639.0
2026-08-20,ATLANTIC,SUBTOTAL,Rye,0.0
2026-08-20,ATLANTIC,SUBTOTAL,Sorghum,0.0
2026-08-20,ATLANTIC,SUBTOTAL,Soybeans,490.0
2026-08-20,ATLANTIC,SUBTOTAL,Wheat,1372.0
2026-08-20,GULF,MISSISSIPPI R.,Corn White,7993.0
2026-08-20,GULF,MISSISSIPPI R.,Corn Yellow,566325.0
2026-08-20,GULF,MISSISSIPPI R.,Rye,0.0
2026-08-20,GULF,MISSISSIPPI R.,Sorghum,0.0
2026-08-20,GULF,MISSISSIPPI R.,Soybeans,345776.0
2026-08-20,GULF,MISSISSIPPI R.,Wheat,31073.0
2026-08-20,GULF,N. TEXAS,Corn White,25300.0
2026-08-20,GULF,N. TEXAS,Corn Yellow,30521.0
2026-08-20,GULF,N. TEXAS,Rye,0.0
2026-08-20,GULF,N. TEXAS,Sorghum,0.0
2026-08-20,GULF,N. TEXAS,Soybeans,0.0
2026-08-20,GULF,N. TEXAS,Wheat,12232.0
2026-08-20,GULF,SUBTOTAL,Corn White,33293.0
2026-08-20,GULF,SUBTOTAL,Corn Yellow,596846.0
2026-08-20,GULF,SUBTOTAL,Rye,0.0
2026-08-20,GULF,SUBTOTAL,Sorghum,0.0
2026-08-20,GULF,SUBTOTAL,Soybeans,345776.0
2026-08-20,GULF,SUBTOTAL,Wheat,43305.0
2026-08-20,INTERIOR,INTERIOR,Corn White,0.0
