week_ending,region,country,commodity,inspections_mt
2026-07-30,INTERIOR,MALAYSIA,Soybeans,6512.0
2026-07-30,INTERIOR,MALAYSIA,Wheat,0.0
2026-07-30,INTERIOR,MEXICO,Corn White,0.0
2026-07-30,INTERIOR,MEXICO,Corn Yellow,259655.0
2026-07-30,INTERIOR,MEXICO,Sorghum,0.0
2026-07-30,INTERIOR,MEXICO,Soybeans,74245.0
2026-07-30,INTERIOR,MEXICO,Wheat,43810.0
2026-07-30,INTERIOR,NEPAL,Corn White,0.0
2026-07-30,INTERIOR,NEPAL,Corn Yellow,0.0
2026-07-30,INTERIOR,NEPAL,Sorghum,0.0
2026-07-30,INTERIOR,NEPAL,Soybeans,588.0
2026-07-30,INTERIOR,NEPAL,Wheat,0.0
2026-07-30,INTERIOR,PERU,Corn White,0.0
2026-07-30,INTERIOR,PERU,Corn Yellow,0.0
2026-07-30,INTERIOR,PERU,Sorghum,0.0
2026-07-30,INTERIOR,PERU,Soybeans,367.0
2026-07-30,INTERIOR,PERU,Wheat,0.0
2026-07-30,INTERIOR,PHILIPPINES,Corn White,245.0
2026-07-30,INTERIOR,PHILIPPINES,Corn Yellow,147.0
2026-07-30,INTERIOR,PHILIPPINES,Sorghum,0.0
2026-07-30,INTERIOR,PHILIPPINES,Soybeans,3941.0
2026-07-30,INTERIOR,PHILIPPINES,Wheat,0.0
2026-07-30,INTERIOR,SUBTOTAL,Corn White,367.0
2026-07-30,INTERIOR,SUBTOTAL,Corn Yellow,284892.0
2026-07-30,INTERIOR,SUBTOTAL,Sorghum,734.0
2026-07-30,INTERIOR,SUBTOTAL,Soybeans,136458.0
2026-07-30,INTERIOR,SUBTOTAL,Wheat,47874.0
2026-07-30,INTERIOR,TAIWAN,Corn White,0.0
2026-07-30,INTERIOR,TAIWAN,Corn Yellow,14172.0
2026-07-30,INTERIOR,TAIWAN,Sorghum,0.0
2026-07-30,INTERIOR,TAIWAN,Soybeans,16628.0
2026-07-30,INTERIOR,TAIWAN,Wheat,2253.0
2026-07-30,INTERIOR,THAILAND,Corn White,0.0
2026-07-30,INTERIOR,THAILAND,Corn Yellow,0.0
2026-07-30,INTERIOR,THAILAND,Sorghum,0.0
2026-07-30,INTERIOR,THAILAND,Soybeans,2742.0
2026-07-30,INTERIOR,THAILAND,Wheat,1077.0
2026-07-30,INTERIOR,VIETNAM,Corn White,0.0
2026-07-30,INTERIOR,VIETNAM,Corn Yellow,1395.0
2026-07-30,INTERIOR,VIETNAM,Sorghum,0.0
2026-07-30,INTERIOR,VIETNAM,Soybeans,9643.0
2026-07-30,INTERIOR,VIETNAM,Wheat,734.0
2026-07-30,LAKES,SUBTOTAL,Corn White,0.0
2026-07-30,LAKES,SUBTOTAL,Corn Yellow,9426.0
2026-07-30,LAKES,SUBTOTAL,Sorghum,0.0
2026-07-30,LAKES,SUBTOTAL,Soybeans,0.0
2026-07-30,LAKES,SUBTOTAL,Wheat,0.0
2026-07-30,LAKES,UN KINGDOM,Corn White,0.0
2026-07-30,LAKES,UN KINGDOM,Corn Yellow,9426.0
2026-07-30,LAKES,UN KINGDOM,Sorghum,0.0
2026-07-30,LAKES,UN KINGDOM,Soybeans,0.0
2026-07-30,LAKES,UN KINGDOM,Wheat,0.0
2026-07-30,PACIFIC,JAPAN,Corn White,0.0
2026-07-30,PACIFIC,JAPAN,Corn Yellow,230709.0
2026-07-30,PACIFIC,JAPAN,Sorghum,9001.0
2026-07-30,PACIFIC,JAPAN,Soybeans,0.0
2026-07-30,PACIFIC,JAPAN,Wheat,0.0
2026-07-30,PACIFIC,KOREA REP,Corn White,0.0
