date,product,position,ship_from,ship_to,price_usd_mt
2025-05-05,Soybean Oil,15071000100Q,2025-05,2025-05,987.0
2025-05-05,Soybean Oil,15071000100Q,2025-06,2025-06,969.0
2025-05-05,Soybean Oil,15071000100Q,2025-07,2025-07,957.0
2025-05-05,Soybean Oil,15071000100Q,2025-08,2026-04,948.0
2025-05-05,Sunflower Oil,15121110310E,2025-05,2026-04,1110.0
2025-05-05,Soybean Meal,23040010100B,2025-05,2025-07,316.0
2025-05-05,Soybean Meal,23040010100B,2025-08,2026-04,322.0
2025-05-06,Soybeans,12019000190C,2025-05,2026-04,386.0
2025-05-06,Soybean Oil,15071000100Q,2025-05,2025-05,982.0
2025-05-06,Soybean Oil,15071000100Q,2025-06,2025-06,978.0
2025-05-06,Soybean Oil,15071000100Q,2025-07,2025-07,957.0
2025-05-06,Soybean Oil,15071000100Q,2025-08,2026-04,947.0
2025-05-06,Sunflower Oil,15121110310E,2025-05,2026-04,1110.0
2025-05-06,Soybean Meal,23040010100B,2025-05,2025-07,311.0
2025-05-06,Soybean Meal,23040010100B,2025-08,2026-04,318.0
2025-05-07,Soybeans,12019000190C,2025-05,2025-06,378.0
2025-05-07,Soybeans,12019000190C,2025-07,2026-04,385.0
2025-05-07,Soybean Oil,15071000100Q,2025-05,2025-05,976.0
2025-05-07,Soybean Oil,15071000100Q,2025-06,2025-06,965.0
2025-05-07,Soybean Oil,15071000100Q,2025-07,2025-09,945.0
2025-05-07,Soybean Oil,15071000100Q,2025-10,2026-04,921.0
2025-05-07,Sunflower Oil,15121110310E,2025-05,2026-04,1105.0
2025-05-07,Soybean Meal,23040010100B,2025-05,2025-07,311.0
2025-05-07,Soybean Meal,23040010100B,2025-08,2026-04,316.0
2025-05-08,Soybeans,12019000190C,2025-05,2025-06,383.0
2025-05-08,Soybeans,12019000190C,2025-07,2026-04,389.0
2025-05-08,Soybean Oil,15071000100Q,2025-05,2025-05,1000.0
2025-05-08,Soybean Oil,15071000100Q,2025-06,2025-06,984.0
2025-05-08,Soybean Oil,15071000100Q,2025-07,2025-07,969.0
2025-05-08,Soybean Oil,15071000100Q,2025-08,2026-04,950.0
2025-05-08,Sunflower Oil,15121110310E,2025-05,2026-04,1100.0
2025-05-08,Soybean Meal,23040010100B,2025-05,2025-08,310.0
2025-05-08,Soybean Meal,23040010100B,2025-09,2026-04,323.0
2025-05-09,Soybeans,12019000190C,2025-05,2025-06,386.0
2025-05-09,Soybeans,12019000190C,2025-07,2026-04,394.0
2025-05-09,Soybean Oil,15071000100Q,2025-05,2025-05,1008.0
2025-05-09,Soybean Oil,15071000100Q,2025-06,2025-06,991.0
2025-05-09,Soybean Oil,15071000100Q,2025-07,2025-07,978.0
2025-05-09,Soybean Oil,15071000100Q,2025-08,2026-04,953.0
2025-05-09,Sunflower Oil,15121110310E,2025-05,2026-04,1100.0
2025-05-09,Soybean Meal,23040010100B,2025-05,2025-08,308.0
2025-05-09,Soybean Meal,23040010100B,2025-09,2026-04,319.0
2025-05-12,Soybeans,12019000190C,2025-05,2025-06,393.0
2025-05-12,Soybeans,12019000190C,2025-07,2026-04,398.0
2025-05-12,Soybean Oil,15071000100Q,2025-05,2025-05,1012.0
2025-05-12,Soybean Oil,15071000100Q,2025-06,2025-06,1023.0
2025-05-12,Soybean Oil,15071000100Q,2025-07,2025-07,998.0
2025-05-12,Soybean Oil,15071000100Q,2025-08,2026-04,984.0
2025-05-12,Sunflower Oil,15121110310E,2025-05,2026-04,1095.0
2025-05-12,Soybean Meal,23040010100B,2025-05,2025-07,312.0
2025-05-12,Soybean Meal,23040010100B,2025-08,2026-04,323.0
2025-05-13,Soybeans,12019000190C,2025-05,2025-06,393.0
2025-05-13,Soybeans,12019000190C,2025-07,2026-04,399.0
2025-05-13,Soybean Oil,15071000100Q,2025-05,2025-06,1059.0
2025-05-13,Soybean Oil,15071000100Q,2025-07,2025-07,1030.0
2025-05-13,Soybean Oil,15071000100Q,2025-08,2026-04,1009.0
2025-05-13,Sunflower Oil,15121110310E,2025-05,2026-04,1100.0
2025-05-13,Soybean Meal,23040010100B,2025-05,2025-07,305.0
2025-05-13,Soybean Meal,23040010100B,2025-08,2026-04,316.0
2025-05-14,Soybeans,12019000190C,2025-05,2025-06,395.0
2025-05-14,Soybeans,12019000190C,2025-07,2026-04,400.0
2025-05-14,Soybean Oil,15071000100Q,2025-05,2025-06,1077.0
2025-05-14,Soybean Oil,15071000100Q,2025-07,2025-07,1041.0
2025-05-14,Soybean Oil,15071000100Q,2025-08,2026-04,1026.0
2025-05-14,Sunflower Oil,15121110310E,2025-05,2026-04,1100.0
2025-05-14,Soybean Meal,23040010100B,2025-05,2025-07,302.0
2025-05-14,Soybean Meal,23040010100B,2025-08,2026-04,316.0
2025-05-15,Soybeans,12019000190C,2025-05,2025-06,385.0
2025-05-15,Soybeans,12019000190C,2025-07,2026-04,390.0
2025-05-15,Soybean Oil,15071000100Q,2025-05,2025-06,1023.0
2025-05-15,Soybean Oil,15071000100Q,2025-07,2025-07,993.0
2025-05-15,Soybean Oil,15071000100Q,2025-08,2025-09,969.0
2025-05-15,Soybean Oil,15071000100Q,2025-10,2026-04,959.0
2025-05-15,Sunflower Oil,15121110310E,2025-05,2026-04,1095.0
2025-05-15,Soybean Meal,23040010100B,2025-05,2025-07,308.0
2025-05-15,Soybean Meal,23040010100B,2025-08,2026-04,320.0
2025-05-16,Soybeans,12019000190C,2025-05,2025-06,385.0
2025-05-16,Soybeans,12019000190C,2025-07,2026-04,390.0
2025-05-16,Soybean Oil,15071000100Q,2025-05,2025-06,1030.0
2025-05-16,Soybean Oil,15071000100Q,2025-07,2025-07,991.0
2025-05-16,Soybean Oil,15071000100Q,2025-08,2026-04,972.0
2025-05-16,Sunflower Oil,15121110310E,2025-05,2026-04,1095.0
2025-05-16,Soybean Meal,23040010100B,2025-05,2025-07,304.0
2025-05-16,Soybean Meal,23040010100B,2025-08,2026-04,310.0
2025-05-19,Soybeans,12019000190C,2025-05,2026-04,391.0
2025-05-19,Soybean Oil,15071000100Q,2025-05,2025-06,1042.0
2025-05-19,Soybean Oil,15071000100Q,2025-07,2025-07,998.0
2025-05-19,Soybean Oil,15071000100Q,2025-08,2026-04,986.0
2025-05-19,Sunflower Oil,15121110310E,2025-05,2026-04,1095.0
2025-05-19,Soybean Meal,23040010100B,2025-05,2025-07,304.0
2025-05-19,Soybean Meal,23040010100B,2025-08,2026-04,310.0
2025-05-20,Soybeans,12019000190C,2025-05,2026-04,392.0
2025-05-20,Soybean Oil,15071000100Q,2025-05,2025-06,1035.0
2025-05-20,Soybean Oil,15071000100Q,2025-07,2025-07,986.0
2025-05-20,Soybean Oil,15071000100Q,2025-08,2026-04,979.0
2025-05-20,Sunflower Oil,15121110310E,2025-05,2026-04,1090.0
2025-05-20,Soybean Meal,23040010100B,2025-05,2025-07,306.0
2025-05-20,Soybean Meal,23040010100B,2025-08,2026-04,312.0
2025-05-21,Soybeans,12019000190C,2025-05,2026-04,396.0
2025-05-21,Soybean Oil,15071000100Q,2025-05,2025-06,1025.0
2025-05-21,Soybean Oil,15071000100Q,2025-07,2026-04,979.0
2025-05-21,Sunflower Oil,15121110310E,2025-05,2026-04,1090.0
2025-05-21,Soybean Meal,23040010100B,2025-05,2025-07,310.0
2025-05-21,Soybean Meal,23040010100B,2025-08,2026-04,317.0
2025-05-22,Soybeans,12019000190C,2025-05,2025-06,393.0
2025-05-22,Soybeans,12019000190C,2025-07,2026-04,398.0
2025-05-22,Soybean Oil,15071000100Q,2025-05,2025-06,1011.0
2025-05-22,Soybean Oil,15071000100Q,2025-07,2026-04,966.0
2025-05-22,Sunflower Oil,15121110310E,2025-05,2026-04,1085.0
2025-05-22,Soybean Meal,23040010100B,2025-05,2025-07,315.0
2025-05-22,Soybean Meal,23040010100B,2025-08,2026-04,325.0
2025-05-23,Soybeans,12019000190C,2025-05,2026-04,395.0
2025-05-23,Soybean Oil,15071000100Q,2025-05,2025-06,985.0
2025-05-23,Soybean Oil,15071000100Q,2025-07,2026-04,958.0
2025-05-23,Sunflower Oil,15121110310E,2025-05,2026-04,1085.0
2025-05-23,Soybean Meal,23040010100B,2025-05,2025-07,313.0
2025-05-23,Soybean Meal,23040010100B,2025-08,2026-04,322.0
2025-05-26,Soybeans,12019000190C,2025-05,2026-04,395.0
2025-05-26,Soybean Oil,15071000100Q,2025-05,2025-06,985.0
2025-05-26,Soybean Oil,15071000100Q,2025-07,2026-04,958.0
2025-05-26,Sunflower Oil,15121110310E,2025-05,2026-04,1085.0
2025-05-26,Soybean Meal,23040010100B,2025-05,2025-07,313.0
2025-05-26,Soybean Meal,23040010100B,2025-08,2026-04,322.0
2025-05-27,Soybeans,12019000190C,2025-05,2026-04,396.0
2025-05-27,Soybean Oil,15071000100Q,2025-05,2025-06,1000.0
2025-05-27,Soybean Oil,15071000100Q,2025-07,2026-04,964.0
2025-05-27,Sunflower Oil,15121110310E,2025-05,2026-04,1085.0
2025-05-27,Soybean Meal,23040010100B,2025-05,2025-07,313.0
2025-05-27,Soybean Meal,23040010100B,2025-08,2026-04,318.0
2025-05-28,Soybeans,12019000190C,2025-05,2025-06,386.0
2025-05-28,Soybeans,12019000190C,2025-07,2026-04,391.0
2025-05-28,Soybean Oil,15071000100Q,2025-05,2025-06,990.0
2025-05-28,Soybean Oil,15071000100Q,2025-07,2026-04,954.0
2025-05-28,Sunflower Oil,15121110310E,2025-05,2026-04,1085.0
2025-05-28,Soybean Meal,23040010100B,2025-05,2025-07,311.0
2025-05-28,Soybean Meal,23040010100B,2025-08,2025-08,315.0
2025-05-28,Soybean Meal,23040010100B,2025-09,2026-04,320.0
2025-05-29,Soybeans,12019000190C,2025-05,2025-06,389.0
2025-05-29,Soybeans,12019000190C,2025-07,2025-10,392.0
2025-05-29,Soybeans,12019000190C,2025-11,2026-04,414.0
2025-05-29,Soybean Oil,15071000100Q,2025-05,2025-06,989.0
2025-05-29,Soybean Oil,15071000100Q,2025-07,2025-07,975.0
2025-05-29,Soybean Oil,15071000100Q,2025-08,2026-04,952.0
2025-05-29,Sunflower Oil,15121110310E,2025-05,2025-09,1080.0
2025-05-29,Sunflower Oil,15121110310E,2025-10,2026-04,1040.0
2025-05-29,Soybean Meal,23040010100B,2025-05,2025-07,314.0
2025-05-29,Soybean Meal,23040010100B,2025-08,2025-08,318.0
2025-05-29,Soybean Meal,23040010100B,2025-09,2026-04,322.0
2025-05-30,Soybeans,12019000190C,2025-05,2025-06,387.0
2025-05-30,Soybeans,12019000190C,2025-07,2025-10,391.0
2025-05-30,Soybeans,12019000190C,2025-11,2026-04,413.0
2025-05-30,Soybean Oil,15071000100Q,2025-05,2025-06,981.0
2025-05-30,Soybean Oil,15071000100Q,2025-07,2025-07,977.0
2025-05-30,Soybean Oil,15071000100Q,2025-08,2026-04,963.0
2025-05-30,Sunflower Oil,15121110310E,2025-05,2025-09,1075.0
2025-05-30,Sunflower Oil,15121110310E,2025-10,2026-04,1030.0
2025-05-30,Soybean Meal,23040010100B,2025-05,2025-05,311.0
2025-05-30,Soybean Meal,23040010100B,2025-06,2025-06,314.0
2025-05-30,Soybean Meal,23040010100B,2025-07,2025-07,313.0
2025-05-30,Soybean Meal,23040010100B,2025-08,2025-08,318.0
2025-05-30,Soybean Meal,23040010100B,2025-09,2025-09,322.0
2025-05-30,Soybean Meal,23040010100B,2025-10,2026-04,335.0
2025-06-02,Soybeans,12019000190C,2025-06,2025-06,384.0
2025-06-02,Soybeans,12019000190C,2025-07,2025-07,388.0
2025-06-02,Soybeans,12019000190C,2025-08,2025-11,393.0
2025-06-02,Soybeans,12019000190C,2025-12,2026-05,415.0
2025-06-02,Soybean Oil,15071000100Q,2025-06,2025-06,989.0
2025-06-02,Soybean Oil,15071000100Q,2025-07,2025-07,984.0
2025-06-02,Soybean Oil,15071000100Q,2025-08,2025-08,971.0
2025-06-02,Soybean Oil,15071000100Q,2025-09,2026-02,958.0
2025-06-02,Soybean Oil,15071000100Q,2026-03,2026-05,918.0
2025-06-02,Sunflower Oil,15121110310E,2025-06,2025-08,1075.0
2025-06-02,Sunflower Oil,15121110310E,2025-09,2025-09,1060.0
2025-06-02,Sunflower Oil,15121110310E,2025-10,2026-05,1040.0
2025-06-02,Soybean Meal,23040010100B,2025-06,2025-06,311.0
2025-06-02,Soybean Meal,23040010100B,2025-07,2025-07,312.0
2025-06-02,Soybean Meal,23040010100B,2025-08,2025-08,316.0
2025-06-02,Soybean Meal,23040010100B,2025-09,2025-09,319.0
2025-06-02,Soybean Meal,23040010100B,2025-10,2026-05,331.0
2025-06-03,Soybeans,12019000190C,2025-06,2025-06,386.0
2025-06-03,Soybeans,12019000190C,2025-07,2025-07,390.0
2025-06-03,Soybeans,12019000190C,2025-08,2025-11,395.0
2025-06-03,Soybeans,12019000190C,2025-12,2026-05,417.0
2025-06-03,Soybean Oil,15071000100Q,2025-06,2025-06,1014.0
2025-06-03,Soybean Oil,15071000100Q,2025-07,2025-07,1010.0
2025-06-03,Soybean Oil,15071000100Q,2025-08,2025-08,987.0
2025-06-03,Soybean Oil,15071000100Q,2025-09,2025-09,973.0
2025-06-03,Soybean Oil,15071000100Q,2025-10,2025-10,955.0
2025-06-03,Soybean Oil,15071000100Q,2025-11,2025-11,959.0
2025-06-03,Soybean Oil,15071000100Q,2025-12,2026-02,961.0
2025-06-03,Soybean Oil,15071000100Q,2026-03,2026-05,925.0
2025-06-03,Sunflower Oil,15121110310E,2025-06,2025-07,1080.0
2025-06-03,Sunflower Oil,15121110310E,2025-08,2025-09,1065.0
2025-06-03,Sunflower Oil,15121110310E,2025-10,2026-05,1040.0
2025-06-03,Soybean Meal,23040010100B,2025-06,2025-07,310.0
2025-06-03,Soybean Meal,23040010100B,2025-08,2025-08,314.0
2025-06-03,Soybean Meal,23040010100B,2025-09,2025-09,318.0
2025-06-03,Soybean Meal,23040010100B,2025-10,2026-05,331.0
2025-06-04,Soybeans,12019000190C,2025-06,2025-06,390.0
2025-06-04,Soybeans,12019000190C,2025-07,2025-07,393.0
2025-06-04,Soybeans,12019000190C,2025-08,2025-10,394.0
2025-06-04,Soybeans,12019000190C,2025-11,2026-05,418.0
2025-06-04,Soybean Oil,15071000100Q,2025-06,2025-06,1009.0
2025-06-04,Soybean Oil,15071000100Q,2025-07,2025-07,1005.0
2025-06-04,Soybean Oil,15071000100Q,2025-08,2025-08,971.0
2025-06-04,Soybean Oil,15071000100Q,2025-09,2025-09,962.0
2025-06-04,Soybean Oil,15071000100Q,2025-10,2025-10,950.0
2025-06-04,Soybean Oil,15071000100Q,2025-11,2025-12,955.0
2025-06-04,Soybean Oil,15071000100Q,2026-01,2026-02,946.0
2025-06-04,Soybean Oil,15071000100Q,2026-03,2026-05,923.0
2025-06-04,Sunflower Oil,15121110310E,2025-06,2025-08,1075.0
2025-06-04,Sunflower Oil,15121110310E,2025-09,2025-09,1055.0
2025-06-04,Sunflower Oil,15121110310E,2025-10,2026-05,1040.0
2025-06-04,Soybean Meal,23040010100B,2025-06,2025-07,312.0
2025-06-04,Soybean Meal,23040010100B,2025-08,2025-08,316.0
2025-06-04,Soybean Meal,23040010100B,2025-09,2025-09,322.0
2025-06-04,Soybean Meal,23040010100B,2025-10,2026-05,334.0
2025-06-05,Soybeans,12019000190C,2025-06,2025-09,395.0
2025-06-05,Soybeans,12019000190C,2025-10,2025-11,396.0
2025-06-05,Soybeans,12019000190C,2025-12,2026-05,421.0
2025-06-05,Soybean Oil,15071000100Q,2025-06,2025-06,1003.0
2025-06-05,Soybean Oil,15071000100Q,2025-07,2025-07,1000.0
2025-06-05,Soybean Oil,15071000100Q,2025-08,2025-08,966.0
2025-06-05,Soybean Oil,15071000100Q,2025-09,2025-09,958.0
2025-06-05,Soybean Oil,15071000100Q,2025-10,2025-10,952.0
2025-06-05,Soybean Oil,15071000100Q,2025-11,2025-12,958.0
2025-06-05,Soybean Oil,15071000100Q,2026-01,2026-02,962.0
2025-06-05,Soybean Oil,15071000100Q,2026-03,2026-05,926.0
2025-06-05,Sunflower Oil,15121110310E,2025-06,2025-08,1070.0
2025-06-05,Sunflower Oil,15121110310E,2025-09,2025-09,1050.0
2025-06-05,Sunflower Oil,15121110310E,2025-10,2026-05,1030.0
2025-06-05,Soybean Meal,23040010100B,2025-06,2025-07,310.0
2025-06-05,Soybean Meal,23040010100B,2025-08,2025-08,314.0
2025-06-05,Soybean Meal,23040010100B,2025-09,2025-09,318.0
2025-06-05,Soybean Meal,23040010100B,2025-10,2026-05,332.0
2025-06-06,Soybeans,12019000190C,2025-06,2025-06,395.0
2025-06-06,Soybeans,12019000190C,2025-07,2025-07,398.0
2025-06-06,Soybeans,12019000190C,2025-08,2025-11,400.0
2025-06-06,Soybeans,12019000190C,2025-12,2026-05,423.0
2025-06-06,Soybean Oil,15071000100Q,2025-06,2025-06,1011.0
2025-06-06,Soybean Oil,15071000100Q,2025-07,2025-07,1012.0
2025-06-06,Soybean Oil,15071000100Q,2025-08,2025-08,976.0
2025-06-06,Soybean Oil,15071000100Q,2025-09,2025-09,974.0
2025-06-06,Soybean Oil,15071000100Q,2025-10,2025-12,969.0
2025-06-06,Soybean Oil,15071000100Q,2026-01,2026-02,979.0
2025-06-06,Soybean Oil,15071000100Q,2026-03,2026-05,940.0
2025-06-06,Sunflower Oil,15121110310E,2025-06,2025-08,1075.0
2025-06-06,Sunflower Oil,15121110310E,2025-09,2025-09,1045.0
2025-06-06,Sunflower Oil,15121110310E,2025-10,2026-05,1030.0
2025-06-06,Soybean Meal,23040010100B,2025-06,2025-07,308.0
2025-06-06,Soybean Meal,23040010100B,2025-08,2025-08,311.0
2025-06-06,Soybean Meal,23040010100B,2025-09,2025-09,316.0
2025-06-06,Soybean Meal,23040010100B,2025-10,2026-05,329.0
2025-06-09,Soybeans,12019000190C,2025-06,2025-06,395.0
2025-06-09,Soybeans,12019000190C,2025-07,2025-07,397.0
2025-06-09,Soybeans,12019000190C,2025-08,2025-11,399.0
2025-06-09,Soybeans,12019000190C,2025-12,2026-01,413.0
2025-06-09,Soybeans,12019000190C,2026-02,2026-05,426.0
2025-06-09,Soybean Oil,15071000100Q,2025-06,2025-06,1005.0
2025-06-09,Soybean Oil,15071000100Q,2025-07,2025-07,1009.0
2025-06-09,Soybean Oil,15071000100Q,2025-08,2025-08,977.0
2025-06-09,Soybean Oil,15071000100Q,2025-09,2025-10,973.0
2025-06-09,Soybean Oil,15071000100Q,2025-11,2025-12,978.0
2025-06-09,Soybean Oil,15071000100Q,2026-01,2026-02,974.0
2025-06-09,Soybean Oil,15071000100Q,2026-03,2026-05,938.0
2025-06-09,Sunflower Oil,15121110310E,2025-06,2025-08,1075.0
2025-06-09,Sunflower Oil,15121110310E,2025-09,2025-09,1041.0
2025-06-09,Sunflower Oil,15121110310E,2025-10,2026-05,1030.0
2025-06-09,Soybean Meal,23040010100B,2025-06,2025-06,308.0
2025-06-09,Soybean Meal,23040010100B,2025-07,2025-07,309.0
2025-06-09,Soybean Meal,23040010100B,2025-08,2025-08,313.0
2025-06-09,Soybean Meal,23040010100B,2025-09,2025-09,318.0
2025-06-09,Soybean Meal,23040010100B,2025-10,2026-05,329.0
2025-06-10,Soybeans,12019000190C,2025-06,2025-06,395.0
2025-06-10,Soybeans,12019000190C,2025-07,2025-07,398.0
2025-06-10,Soybeans,12019000190C,2025-08,2025-08,401.0
2025-06-10,Soybeans,12019000190C,2025-09,2025-11,402.0
2025-06-10,Soybeans,12019000190C,2025-12,2026-01,413.0
2025-06-10,Soybeans,12019000190C,2026-02,2026-05,426.0
2025-06-10,Soybean Oil,15071000100Q,2025-06,2025-06,1003.0
2025-06-10,Soybean Oil,15071000100Q,2025-07,2025-07,1005.0
2025-06-10,Soybean Oil,15071000100Q,2025-08,2025-08,974.0
2025-06-10,Soybean Oil,15071000100Q,2025-09,2025-09,971.0
2025-06-10,Soybean Oil,15071000100Q,2025-10,2025-10,964.0
2025-06-10,Soybean Oil,15071000100Q,2025-11,2025-12,969.0
2025-06-10,Soybean Oil,15071000100Q,2026-01,2026-02,982.0
2025-06-10,Soybean Oil,15071000100Q,2026-03,2026-05,944.0
2025-06-10,Sunflower Oil,15121110310E,2025-06,2025-08,1070.0
2025-06-10,Sunflower Oil,15121110310E,2025-09,2025-09,1041.0
2025-06-10,Sunflower Oil,15121110310E,2025-10,2026-05,1030.0
2025-06-10,Soybean Meal,23040010100B,2025-06,2025-06,308.0
2025-06-10,Soybean Meal,23040010100B,2025-07,2025-07,309.0
2025-06-10,Soybean Meal,23040010100B,2025-08,2025-08,313.0
2025-06-10,Soybean Meal,23040010100B,2025-09,2025-09,316.0
2025-06-10,Soybean Meal,23040010100B,2025-10,2026-05,327.0
2025-06-11,Soybeans,12019000190C,2025-06,2025-06,395.0
2025-06-11,Soybeans,12019000190C,2025-07,2025-07,396.0
2025-06-11,Soybeans,12019000190C,2025-08,2025-08,398.0
2025-06-11,Soybeans,12019000190C,2025-09,2025-11,403.0
2025-06-11,Soybeans,12019000190C,2025-12,2026-01,413.0
2025-06-11,Soybeans,12019000190C,2026-02,2026-05,426.0
2025-06-11,Soybean Oil,15071000100Q,2025-06,2025-07,1000.0
2025-06-11,Soybean Oil,15071000100Q,2025-08,2025-08,975.0
2025-06-11,Soybean Oil,15071000100Q,2025-09,2025-09,972.0
2025-06-11,Soybean Oil,15071000100Q,2025-10,2025-12,973.0
2025-06-11,Soybean Oil,15071000100Q,2026-01,2026-02,985.0
2025-06-11,Soybean Oil,15071000100Q,2026-03,2026-05,948.0
2025-06-11,Sunflower Oil,15121110310E,2025-06,2025-08,1070.0
2025-06-11,Sunflower Oil,15121110310E,2025-09,2025-09,1041.0
2025-06-11,Sunflower Oil,15121110310E,2025-10,2026-05,1030.0
2025-06-11,Soybean Meal,23040010100B,2025-06,2025-06,307.0
2025-06-11,Soybean Meal,23040010100B,2025-07,2025-07,310.0
2025-06-11,Soybean Meal,23040010100B,2025-08,2025-08,313.0
2025-06-11,Soybean Meal,23040010100B,2025-09,2025-09,316.0
2025-06-11,Soybean Meal,23040010100B,2025-10,2026-05,323.0
2025-06-12,Soybeans,12019000190C,2025-06,2025-07,394.0
2025-06-12,Soybeans,12019000190C,2025-08,2025-09,397.0
2025-06-12,Soybeans,12019000190C,2025-10,2025-11,404.0
2025-06-12,Soybeans,12019000190C,2025-12,2026-01,411.0
2025-06-12,Soybeans,12019000190C,2026-02,2026-05,425.0
2025-06-12,Soybean Oil,15071000100Q,2025-06,2025-06,994.0
2025-06-12,Soybean Oil,15071000100Q,2025-07,2025-07,987.0
2025-06-12,Soybean Oil,15071000100Q,2025-08,2025-08,964.0
2025-06-12,Soybean Oil,15071000100Q,2025-09,2025-09,956.0
2025-06-12,Soybean Oil,15071000100Q,2025-10,2025-10,948.0
2025-06-12,Soybean Oil,15071000100Q,2025-11,2025-12,954.0
2025-06-12,Soybean Oil,15071000100Q,2026-01,2026-02,953.0
2025-06-12,Soybean Oil,15071000100Q,2026-03,2026-05,918.0
2025-06-12,Sunflower Oil,15121110310E,2025-06,2025-08,1070.0
2025-06-12,Sunflower Oil,15121110310E,2025-09,2025-09,1041.0
2025-06-12,Sunflower Oil,15121110310E,2025-10,2026-05,1030.0
2025-06-12,Soybean Meal,23040010100B,2025-06,2025-06,308.0
2025-06-12,Soybean Meal,23040010100B,2025-07,2025-07,309.0
2025-06-12,Soybean Meal,23040010100B,2025-08,2025-08,314.0
2025-06-12,Soybean Meal,23040010100B,2025-09,2025-09,316.0
2025-06-12,Soybean Meal,23040010100B,2025-10,2025-10,324.0
2025-06-12,Soybean Meal,23040010100B,2025-11,2026-05,327.0
2025-06-13,Soybeans,12019000190C,2025-06,2025-07,406.0
2025-06-13,Soybeans,12019000190C,2025-08,2025-09,409.0
2025-06-13,Soybeans,12019000190C,2025-10,2025-11,413.0
2025-06-13,Soybeans,12019000190C,2025-12,2026-01,419.0
2025-06-13,Soybeans,12019000190C,2026-02,2026-05,432.0
2025-06-13,Soybean Oil,15071000100Q,2025-06,2025-06,1011.0
2025-06-13,Soybean Oil,15071000100Q,2025-07,2025-07,1024.0
2025-06-13,Soybean Oil,15071000100Q,2025-08,2025-08,1015.0
2025-06-13,Soybean Oil,15071000100Q,2025-09,2025-09,1012.0
2025-06-13,Soybean Oil,15071000100Q,2025-10,2025-10,1004.0
2025-06-13,Soybean Oil,15071000100Q,2025-11,2025-12,1009.0
2025-06-13,Soybean Oil,15071000100Q,2026-01,2026-02,1019.0
2025-06-13,Soybean Oil,15071000100Q,2026-03,2026-05,984.0
2025-06-13,Sunflower Oil,15121110310E,2025-06,2025-08,1070.0
2025-06-13,Sunflower Oil,15121110310E,2025-09,2025-09,1041.0
2025-06-13,Sunflower Oil,15121110310E,2025-10,2026-05,1030.0
2025-06-13,Soybean Meal,23040010100B,2025-06,2025-06,306.0
2025-06-13,Soybean Meal,23040010100B,2025-07,2025-07,308.0
2025-06-13,Soybean Meal,23040010100B,2025-08,2025-08,312.0
2025-06-13,Soybean Meal,23040010100B,2025-09,2025-09,314.0
2025-06-13,Soybean Meal,23040010100B,2025-10,2025-10,321.0
2025-06-13,Soybean Meal,23040010100B,2025-11,2026-05,326.0
2025-06-17,Soybeans,12019000190C,2025-06,2025-06,408.0
2025-06-17,Soybeans,12019000190C,2025-07,2025-07,404.0
2025-06-17,Soybeans,12019000190C,2025-08,2025-08,408.0
2025-06-17,Soybeans,12019000190C,2025-09,2025-09,407.0
2025-06-17,Soybeans,12019000190C,2025-10,2025-10,415.0
2025-06-17,Soybeans,12019000190C,2025-11,2026-01,420.0
2025-06-17,Soybeans,12019000190C,2026-02,2026-05,432.0
2025-06-17,Soybean Oil,15071000100Q,2025-06,2025-06,1054.0
2025-06-17,Soybean Oil,15071000100Q,2025-07,2025-07,1064.0
2025-06-17,Soybean Oil,15071000100Q,2025-08,2025-08,1027.0
2025-06-17,Soybean Oil,15071000100Q,2025-09,2025-09,1018.0
2025-06-17,Soybean Oil,15071000100Q,2025-10,2025-10,1009.0
2025-06-17,Soybean Oil,15071000100Q,2025-11,2025-12,1014.0
2025-06-17,Soybean Oil,15071000100Q,2026-01,2026-03,989.0
2025-06-17,Soybean Oil,15071000100Q,2026-04,2026-05,985.0
2025-06-17,Sunflower Oil,15121110310E,2025-06,2025-08,1086.0
2025-06-17,Sunflower Oil,15121110310E,2025-09,2025-09,1071.0
2025-06-17,Sunflower Oil,15121110310E,2025-10,2025-10,1058.0
2025-06-17,Sunflower Oil,15121110310E,2025-11,2026-05,1040.0
2025-06-17,Soybean Meal,23040010100B,2025-06,2025-07,300.0
2025-06-17,Soybean Meal,23040010100B,2025-08,2025-08,306.0
2025-06-17,Soybean Meal,23040010100B,2025-09,2025-09,309.0
2025-06-17,Soybean Meal,23040010100B,2025-10,2025-10,316.0
2025-06-17,Soybean Meal,23040010100B,2025-11,2026-05,320.0
2025-06-18,Soybeans,12019000190C,2025-06,2025-07,407.0
2025-06-18,Soybeans,12019000190C,2025-08,2025-08,409.0
2025-06-18,Soybeans,12019000190C,2025-09,2025-09,407.0
2025-06-18,Soybeans,12019000190C,2025-10,2025-11,419.0
2025-06-18,Soybeans,12019000190C,2025-12,2026-01,422.0
2025-06-18,Soybeans,12019000190C,2026-02,2026-04,430.0
2025-06-18,Soybeans,12019000190C,2026-05,2026-05,436.0
2025-06-18,Soybean Oil,15071000100Q,2025-06,2025-06,1047.0
2025-06-18,Soybean Oil,15071000100Q,2025-07,2025-07,1049.0
2025-06-18,Soybean Oil,15071000100Q,2025-08,2025-08,1024.0
2025-06-18,Soybean Oil,15071000100Q,2025-09,2025-12,1016.0
2025-06-18,Soybean Oil,15071000100Q,2026-01,2026-03,991.0
